2022-10-21 17:15:27,775 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:28,536 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:29,208 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:29,950 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:30,722 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:31,516 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:32,390 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:40,965 |     INFO | 192.168.1.144:63285 | READ
2022-10-21 17:16:32,006 |     INFO | 192.168.1.144:56677 | READ
2022-10-21 17:16:36,000 |     INFO | 192.168.1.144:56677 | READ
2022-10-21 17:16:46,006 |     INFO | 192.168.1.144:56680 | READ
2022-10-21 17:18:30,876 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:32,654 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:33,982 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:35,035 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:35,928 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:36,871 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:37,734 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:38,523 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:39,306 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:40,163 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:40,962 |     INFO | 192.168.1.144:56753 | READ
2022-10-21 17:18:56,767 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:18:58,448 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:18:59,645 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:19:00,581 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:19:01,700 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:19:02,738 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:19:03,610 |     INFO | 192.168.1.144:56761 | READ
2022-10-21 17:24:33,848 |     INFO | 192.168.1.144:50109 | READ
2022-10-21 17:24:36,730 |     INFO | 192.168.1.144:50109 | READ
2022-10-21 17:24:37,953 |     INFO | 192.168.1.144:50109 | READ
2022-10-21 17:24:38,953 |     INFO | 192.168.1.144:50109 | READ
2022-10-21 17:24:40,165 |     INFO | 192.168.1.144:50109 | READ
2022-10-21 17:26:28,347 |     INFO | 192.168.1.144:50154 | READ
2022-10-21 17:26:39,658 |     INFO | 192.168.1.144:50159 | READ
2022-10-21 17:26:44,919 |     INFO | 192.168.1.144:50161 | READ
2022-10-21 17:26:55,159 |     INFO | 192.168.1.144:50166 | READ
2022-10-21 17:38:47,622 |     INFO | 192.168.1.144:56112 | READ
2022-10-21 17:38:49,485 |     INFO | 192.168.1.144:56112 | READ
2022-10-21 17:38:50,608 |     INFO | 192.168.1.144:56112 | READ
2022-10-21 17:38:51,495 |     INFO | 192.168.1.144:56112 | READ
2022-10-21 17:39:11,717 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:12,549 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:13,069 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:13,822 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:14,552 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:15,172 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:15,894 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:16,691 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:17,328 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:18,012 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:18,696 |     INFO | 192.168.1.144:56123 | READ
2022-10-21 17:39:25,405 |     INFO | 192.168.1.144:49854 | READ
2022-10-21 17:39:26,694 |     INFO | 192.168.1.144:49854 | READ
2022-10-21 17:39:27,719 |     INFO | 192.168.1.144:49854 | READ
2022-10-21 17:39:28,643 |     INFO | 192.168.1.144:49854 | READ
2022-10-21 17:39:29,627 |     INFO | 192.168.1.144:49854 | READ
